p_id,cnt
"*****",6
"******",6
"********",6
"************",6
A0091127,306
A0268481,4
A030502903,80
A07,23
A0903607158,2
A0908,72
A0936104638,2
A0RTA,2
A102,3
A105310066,8
A10JQK,2
A1101166,4
A11enIverson,4
A1215356,4
A122353844,3
A126140546,1
A12700259,4
A130969933,5
A15,2
A1S2D3F4,2
A1aa,9
A1bertPujols,1
A1ias,5
A1pha,16
A1right,3
A20th,1
A265769,2
A29586380,9
A2fort,2
A320,126
A333,17
A380,128
A4P8T6X9,8
A5343138,6
A6,16
A710229,41
A791027A,1
A7M2,6
A80211ab,8
A81121937,4
A81295,9
A8336687,1
A870301,35
A880507,10
A9021007,1
A90812345,3
A9226,2
A9349L543,1
A9522130,2
A9604043,21
AA000162,1
AA64,3
AA908,13
AAA891216,53
AAAA1020,2
AAAA1318,10
AAAAABBBB,1
AAAB,9
AAAD,9
AAAdolph,47
AABB55202,1
AABCD,5
AABEN,4
AAIOU,2
AAJOCKER,2
AALLSS,3
AAOC01,1
AAPL,178
AAQQUUAA,20
AAROC104,1
AATM1999,18
AATTVVV,2
AATW,1
AAXDDDD,2
AAZ5077,2
AAaaron,25
AAcrossBB,1
AAsoon,190
AAzxc,1
ABA0525,348
ABADBOY,3
ABBOBO,14
ABC610478,24
ABCD780205,3
ABCDB2,2
ABCDEFG,2
ABCDEFGER,1
ABCDEFGH1,2
ABCDEFUCK,1
ABCcomputer,6
ABCmart,1
ABCoo,1
ABH557,20
ABIGAPPLE,2
ABJones,23
ABOQQ,3
ABOUT,4
ABQ66,3
ABSAK47,1
ABSS0625,2
ABTjj,8
ABigZo,1
ABoxOfChoco,6
ABuJiuHaoBun,3
ACCnicho,1
ACDC69,260
ACEGO,1
ACEGOD,1
ACEISDEAD,5
ACEMOON,7
ACERACER99,4
ACGB,1
ACGUYKING,2
ACHANEW,2
ACLwarrior,18
ACRM2929,1
ACYHsheep,2
ACerol,14
AD0231102,1
ADCDAC5566,38
ADCarry,13
ADD66,1
ADDIEX,6
ADDSS,1
ADDUCE,3
ADDandy,1
ADEMAIN,397
ADIE2,14
ADIKILL,2
ADO3,11
ADR7IN,1
ADSL0000,9
ADXYADXYADXY,1
ADavisBest,1
AE0607,10
AE1822,3
AE2010,9
AE5566,5
AE59603AE,15
AE647,1
AE87,21
AEGIS1106,5
AEIOUYOU,1
AESA,1
AEae2014,8
AElf,3
AF111,3
AF666356,13
AFHCC,1
AFIE,31
AFISH111,16
AFKS,1
AFKwarrior,1
AFM,99
AFROGUNSO,8
AFTER25,37
AFjiesen,3
AFranklin,1
AFu2580,1
AGATELINK,69
AGENTofAQUA,1
AGITOH,4
AGIknight,103
AGODC,465
AGODFATHER,205
AGX04,1
AGwet,4
AHAAA,39
AHAJAY,1
AHDAN123,29
AHEAD099,53
AHKg,1
AHMD,25
AHNCCU,4
AHQ112,1
AHQJOE,34
AHS,1
AHSArks,7
AHYUFIR1994,2
AHsuanHsuan,5
AI09,2
AI314064,1
AI3767,17
AI3KB24,31
AI9790,1
AIDIA,1
AIDSpositive,12
AIGY8560,5
AIKC,1
AIKobeLBJ,1
AIMBREAD,1
AIOTSUKA,1
AIR28P,2
AIR574,58
AIRBUS,1
AIRJEREMYLIN,9
AIRLIN,5
AIRURU,10
AIRWAY1021,76
AISC,47
AISP,2
AITOMA,3
AIVEN,3
AIVN,2
AIWUYA,1
AIcrossover,1
AIdrawer,42
AIman,2
AInnor,47
AIronKuma,3
AIthesixers,48
AJ099,12
AJ5566,3
AJ831112,22
AJ923,1
AJAM,9
AJAPPLE,3
AJIMMY,14
AJLiu,1
AJPuk,1
AJS,1
AJStyles,18
AJXXX,12
AJYOKO,1
AJhe0924,48
AJmay,2
AJrie,2
AK00627,124
AK47ZZZ,1
AK47shoot,4
AKAHOSHI,55
AKATSKI,6
AKATaco,1
AKB4B,20
AKB5566,71
AKBwilliam,1
AKG5566,3
AKGB,1
AKIKOLOVERS,27
AKIRA007,3
AKIRA1258,10
AKIRA22,2
AKIRATOYA,5
AKIRAYOUNG,1
AKK50,14
AKSN74,2
AKSOHBIEN,1
AKUSA,1
AKUSU,2
AKai2210,20
AKboyjeff,25
AKu890828,2
AL0401,2
AL107,2
AL1714,44
ALA525,1
ALACOOL,88
ALAHAKBAR,4
ALAN781215,19
ALAN8180,3
ALANAND,3
ALANMAPTT,2
ALDNOAH5566,134
ALEGG,2
ALENDA,508
ALESOHermes,1
ALEX1212,2
ALEX3428,1
ALEXCHENG,16
ALEXLu2011,3
ALEXWU,1
ALICE0114,2
ALICEwei,1
ALIEN50,2
ALIENKUO,3
ALJAZEERA,32
ALJOE30,9
ALL1217,14
ALLEN10818,1
ALLEN17,1
ALLEN2,2
ALLEN444,1
ALLENSU66,2
ALLENWAN,101
ALLNEW689er,3
ALLPOST,3
ALOVET,35
ALOWS,2
ALTSENG,1
ALUBAWEBBER,255
ALUMIUM,1
ALevine,8
ALiGoo,6
ALin00992,2
ALspeed,12
ALynn0511,1
AM3P,12
AM999,2
AMA0687,21
AMADA,38
AMAGICIAN,30
AMANDYOU,30
AMD640,88
AMDunn1997,7
AMF1018,10
AMG6000,1
AMORocker,1
AMPHIBIA,7
AMTS,8
AMY9040145,1
AMYHUANG,1
AMachi,108
AN94,207
ANA1,1
ANANGON1,108
ANAPLASIA,31
ANCEE,504
ANDORLESS,3
ANDY10115,2
ANDY2006,4
ANDYisME,24
ANG01,1
ANGEL1112,1
ANGELION,1
ANGFU,4
ANIAO,5
ANICEGAME,23
ANKO917,1
ANML712,2
ANNABELL,1
ANOTHERK,103
ANSREC,3
ANSYS80,1
ANTONY1976,2
ANUBISANKH,1
ANava,5
ANiZan9991,402
ANman,69
AOA2,37
"AOB123      ",1
AP0108,2
AP6WU06,34
APB0829,3
APC,445
APE36,5
APEpreme,1
APHIS,1
APOKEN,1
APOllo,1
APPLEin5566,129
APTON,34
APUDOOR,71
APee0509,1
AQED,3
AQQQQQQQ,2
AQUANGEL,4
AQUARMAN,1
AQYQA,1
AR85418541,1
ARCHER2234,12
ARCMOON,14
AREKU,2
AREM,1
ARHAN,4
ARIA1241,2
ARIH,3
ARIK,2
ARMAGEDDON,2
ARMANINAVY,2
ARNOwww,10
AROD99,54
AROOBA,1
ARPG,47
ART2010916,4
ARTCOM,1
ARTORIA,94
ARTURO,1
ARUSHI,205
AS1,2
AS2000,14
ASAHI5566,12
ASANKIN,65
ASCL,65
ASDF0714,49
ASDFGH168,1
ASDWER,1
ASDZX0620,1
ASEVE,16
ASEgroup,7
ASG,2
ASH2012,2
ASIC,33
ASKA,3
ASL,7
ASMMILK,1
ASPEED,1
ASPIRE912,1
ASSESSMENT,4
ASSETS401,2
ASTallen,1
ASTfighter,12
ASUSboy,8
ASZ300,2
ASaFEi,1
AScorpio,4
ASih5566,3
ASlover95,8
AStigma,7
AT1045,1
AT201010,7
ATAT,8
ATGC,1
ATHEM7,20
ATHLONTUTU,2
ATHREE,2
ATI,12
ATLAS17,3
ATM104,3
ATMANMARK,11
ATNB,1
ATND,194
ATOLI,7
ATR27,3
ATSEVEN,71
ATand,17
ATlatte,10
AU3U8,5
AUCIFER0427,17
AUGnebulaUGA,1
AUOleader,1
AUTOPOWER,1
AUwalker,447
AUxfive,1
AV5566,3
AV771118,18
AV8Dpachuchi,22
AVE51,1
AVICII,1
AVKELY,2
AVR0,52
AWEDS,1
AWEQR,37
AWNESS,48
AWOS,2
AWPER,16
AWSMD,4
AWhopaWhoA,40
AWimma,1
AXCHIU,1
AXES,30
AYANNEKO,2
AYLiu,2
AYTOuO,3
AYeh,8
AZBTPATONY,110
AZCAT,1
AZKATE,15
AZTEC,25
AZZKIKR5566,2
AaCzC,2
AaWogo,16
Aagrn,10
AalIzzWell,2
AaliyahTsai,2
Aaron007,1
Aaron0702,2
Aaron1107,1
Aaron2,8
Aaron22,8
Aaron522,1
Aaron910135,1
AaronCross,4
AaronGordon,12
AaronSWAT,8
AaronWang,33
AaronWei1007,1
Aaronie,1
Aaronko,12
Aashu,2
Aasta6431,7
Aatrox,19
Aatrox5566,7
Aayen,1
Aayu,1
Abajohn,2
Abare,6
Abbaschian,1
Abbevillian,3
AbbeyJien,30
Abbm,5
AbbyTFG,1
AbbyVanilla,5
AbcPig,108
Abcd123456,14
Abdera,5
AbdulRauf,2
AbeMei,4
AbeMil,7
AbeNana,14
Abelite,11
Abeno,2
Abet,2
Abigo,14
Abishini,14
AblazeStar,6
Abn12,6
Abobe,6
Abond4ni,1
AbooQ,4
AboveBeyond,4
AboveTheRim,80
Abovethesky,4
AbowLiu,1
Abre,4
Abric,1
Abruptly,9
Absenting,2
Absioute,130
Absolitude,3
Absolue,79
Abu7689,2
AbukumaKai,71
Abyss0130522,6
Abyss777,1
Abyssalsquid,3
AcHiiiiiii,6
Acalanatha30,1
Acario,8
AcaryStaytkD,2
Acce0912,73
Accelerator,1
Acchannyan,10
Account4PTT,9
Accounter,1
Accross,1
Accumulator,2
AccurateIce,1
Ace001,2
Ace0416,3
