日文名稱,評論數量,消費估計_午,消費估計_晚,網頁連結
ブリボン,49,"￥6,000～￥7,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1305/A130502/13182918/
とり口,45,"￥8,000～￥9,999",-,https://tabelog.com/tw/tokyo/A1316/A131603/13219515/
モダン和食 サル ドゥ マキノ,44,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1307/A130701/13161511/
西麻布 鮨葵,39,"￥10,000～￥14,999",-,https://tabelog.com/tw/tokyo/A1307/A130703/13199259/
青山浅田,37,"￥20,000～￥29,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1306/A130603/13004397/
サジヤ,35,"￥5,000～￥5,999",-,https://tabelog.com/tw/tokyo/A1303/A130301/13124422/
green glass,34,"￥4,000～￥4,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1321/A132104/13196314/
BOLT,34,"￥6,000～￥7,999",-,https://tabelog.com/tw/tokyo/A1309/A130905/13210695/
レスプリ・ミタニ ア ゲタリ,32,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1309/A130903/13020505/
こまつ,31,"￥10,000～￥14,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1302/A130203/13170814/
すっぽん料理 田吾作,29,"￥20,000～￥29,999",-,https://tabelog.com/tw/tokyo/A1318/A131801/13039237/
サンパ,27,"￥10,000～￥14,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1319/A131906/13090634/
ナティーボ,27,"￥8,000～￥9,999",-,https://tabelog.com/tw/tokyo/A1317/A131706/13214082/
重よし,27,"￥30,000～","￥10,000～￥14,999",https://tabelog.com/tw/tokyo/A1306/A130601/13001153/
Hostaria Casa Bella,27,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tw/tokyo/A1306/A130603/13175709/
ロウホウトイ,25,"￥8,000～￥9,999",-,https://tabelog.com/tw/tokyo/A1307/A130703/13203446/
割烹 山路,23,"￥10,000～￥14,999",-,https://tabelog.com/tw/tokyo/A1301/A130103/13195108/
calme,21,"￥8,000～￥9,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1317/A131705/13197166/
バー保志 モンス レックス,19,"￥4,000～￥4,999",-,https://tabelog.com/tw/tokyo/A1301/A130103/13132353/
ファイヤーホール4000 麻布十番店,18,"￥8,000～￥9,999",-,https://tabelog.com/tw/tokyo/A1307/A130702/13220650/
茂松,17,"￥20,000～￥29,999",-,https://tabelog.com/tw/tokyo/A1301/A130101/13200102/
けやき坂 わさ,17,"￥40,000～￥49,999",-,https://tabelog.com/tw/tokyo/A1307/A130701/13217326/
銀屋,16,"￥15,000～￥19,999","￥15,000～￥19,999",https://tabelog.com/tw/tokyo/A1316/A131602/13153190/
クリマ ディ トスカーナ,16,"￥10,000～￥14,999","￥3,000～￥3,999",https://tabelog.com/tw/tokyo/A1310/A131004/13215781/
わいん食堂 Chez とし,15,"￥4,000～￥4,999",-,https://tabelog.com/tw/tokyo/A1312/A131204/13164240/
鮨きむら,13,"￥20,000～￥29,999",-,https://tabelog.com/tw/tokyo/A1302/A130204/13218866/
江戸前 鮨 服部,12,"￥10,000～￥14,999",-,https://tabelog.com/tw/tokyo/A1307/A130701/13098338/
和食　ひまわり,11,"￥20,000～￥29,999",-,https://tabelog.com/tw/tokyo/A1301/A130103/13114242/
神戸牛割烹 銀座 美作,10,"￥10,000～￥14,999",-,https://tabelog.com/tw/tokyo/A1301/A130101/13228976/
あらいかわ,10,"￥15,000～￥19,999",-,https://tabelog.com/tw/tokyo/A1307/A130702/13218481/
バーホシ イーリス,7,"￥8,000～￥9,999",-,https://tabelog.com/tw/tokyo/A1301/A130101/13200352/
ピッツエリア エ トラットリア ダ イーサ,913,-,"￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1317/A131701/13103245/
駒形どぜう 本店,738,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1311/A131102/13003684/
ラミティエ,512,"￥5,000～￥5,999","￥2,000～￥2,999",https://tabelog.com/tw/tokyo/A1305/A130503/13004131/
ベーカーバウンス,468,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1317/A131706/13004780/
ダンディゾン,436,～￥999,～￥999,https://tabelog.com/tw/tokyo/A1320/A132001/13005834/
根津 釜竹,406,"￥5,000～￥5,999","￥2,000～￥2,999",https://tabelog.com/tw/tokyo/A1311/A131106/13020252/
ポンチ軒,398,-,"￥2,000～￥2,999",https://tabelog.com/tw/tokyo/A1310/A131002/13141456/
伊勢廣 京橋本店,367,"￥8,000～￥9,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1302/A130202/13000541/
ショコラティエ イナムラショウゾウ,363,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1311/A131105/13047298/
本とさや,359,"￥8,000～￥9,999","￥6,000～￥7,999",https://tabelog.com/tw/tokyo/A1311/A131102/13003711/
ダルマサーガラ,354,"￥3,000～￥3,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1301/A130101/13002374/
カレーの店 プーさん,328,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1325/A132501/13005962/
ラ ブティック ドゥ ジョエル・ロブション 恵比寿ガーデンプレイス店,300,～￥999,～￥999,https://tabelog.com/tw/tokyo/A1303/A130302/13014064/
麺処 篠はら,255,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1322/A132202/13188419/
パルテノペ 広尾店,243,"￥5,000～￥5,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1307/A130703/13005525/
ナポリスタカ 神谷町店,222,"￥6,000～￥7,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1307/A130704/13132020/
シグネチャー,221,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tw/tokyo/A1302/A130202/13020360/
キノシタ,219,"￥10,000～￥14,999","￥2,000～￥2,999",https://tabelog.com/tw/tokyo/A1318/A131810/13001058/
フレデリック カッセル 銀座三越,218,～￥999,～￥999,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/
ヘンリーズ バーガー 代官山,217,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1303/A130303/13190156/
代官山ASO チェレステ 日本橋店,215,"￥8,000～￥9,999","￥4,000～￥4,999",https://tabelog.com/tw/tokyo/A1302/A130202/13021095/
游玄亭 西麻布本館,213,"￥10,000～￥14,999","￥6,000～￥7,999",https://tabelog.com/tw/tokyo/A1307/A130701/13003488/
鳥よし 銀座店,203,"￥6,000～￥7,999",-,https://tabelog.com/tw/tokyo/A1301/A130101/13016582/
御菓子処 さゝま,197,"￥1,000～￥1,999",～￥999,https://tabelog.com/tw/tokyo/A1310/A131003/13000627/
とんかつ桂,195,-,"￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1325/A132502/13016062/
PATISSERIE ASAKO IWAYANAGI,192,"￥1,000～￥1,999",～￥999,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/
ラ・ビスボッチャ,191,"￥10,000～￥14,999",-,https://tabelog.com/tw/tokyo/A1307/A130703/13001647/
一番いちばん,187,～￥999,～￥999,https://tabelog.com/tw/tokyo/A1327/A132701/13001469/
Aux delices de dodine,183,"￥4,000～￥4,999","￥1,000～￥1,999",https://tabelog.com/tw/tokyo/A1314/A131401/13151743/
